Start,Finish,Steps (count)
24-Dec-2014 00:00,25-Dec-2014 00:00,9740.0
25-Dec-2014 00:00,26-Dec-2014 00:00,6940.0
26-Dec-2014 00:00,27-Dec-2014 00:00,10003.0
27-Dec-2014 00:00,28-Dec-2014 00:00,9964.0
28-Dec-2014 00:00,29-Dec-2014 00:00,11663.0
29-Dec-2014 00:00,30-Dec-2014 00:00,13956.0
30-Dec-2014 00:00,31-Dec-2014 00:00,11026.0
31-Dec-2014 00:00,01-Jan-2015 00:00,13712.0
01-Jan-2015 00:00,02-Jan-2015 00:00,13666.0
02-Jan-2015 00:00,03-Jan-2015 00:00,5058.0
03-Jan-2015 00:00,04-Jan-2015 00:00,10990.0
04-Jan-2015 00:00,05-Jan-2015 00:00,14684.0
05-Jan-2015 00:00,06-Jan-2015 00:00,13691.0
06-Jan-2015 00:00,07-Jan-2015 00:00,7585.0
07-Jan-2015 00:00,08-Jan-2015 00:00,8064.0
08-Jan-2015 00:00,09-Jan-2015 00:00,11717.0
09-Jan-2015 00:00,10-Jan-2015 00:00,9169.0
10-Jan-2015 00:00,11-Jan-2015 00:00,15896.0
11-Jan-2015 00:00,12-Jan-2015 00:00,10378.0
12-Jan-2015 00:00,13-Jan-2015 00:00,16645.0
13-Jan-2015 00:00,14-Jan-2015 00:00,11553.0
14-Jan-2015 00:00,15-Jan-2015 00:00,9758.0
15-Jan-2015 00:00,16-Jan-2015 00:00,8816.0
16-Jan-2015 00:00,17-Jan-2015 00:00,11049.0
17-Jan-2015 00:00,18-Jan-2015 00:00,13689.0
18-Jan-2015 00:00,19-Jan-2015 00:00,11733.0
19-Jan-2015 00:00,20-Jan-2015 00:00,13037.0
20-Jan-2015 00:00,21-Jan-2015 00:00,5759.0
21-Jan-2015 00:00,22-Jan-2015 00:00,5900.0
22-Jan-2015 00:00,23-Jan-2015 00:00,9065.0
23-Jan-2015 00:00,24-Jan-2015 00:00,7075.0
24-Jan-2015 00:00,25-Jan-2015 00:00,12413.0
25-Jan-2015 00:00,26-Jan-2015 00:00,12589.0
26-Jan-2015 00:00,27-Jan-2015 00:00,7561.0
27-Jan-2015 00:00,28-Jan-2015 00:00,10458.0
28-Jan-2015 00:00,29-Jan-2015 00:00,9100.0
29-Jan-2015 00:00,30-Jan-2015 00:00,8122.0
30-Jan-2015 00:00,31-Jan-2015 00:00,18949.0
31-Jan-2015 00:00,01-Feb-2015 00:00,12440.0
01-Feb-2015 00:00,02-Feb-2015 00:00,5551.0
02-Feb-2015 00:00,03-Feb-2015 00:00,12561.0
03-Feb-2015 00:00,04-Feb-2015 00:00,11304.0
04-Feb-2015 00:00,05-Feb-2015 00:00,19311.0
05-Feb-2015 00:00,06-Feb-2015 00:00,11487.0
06-Feb-2015 00:00,07-Feb-2015 00:00,370.0
07-Feb-2015 00:00,08-Feb-2015 00:00,10368.0
08-Feb-2015 00:00,09-Feb-2015 00:00,8941.0
09-Feb-2015 00:00,10-Feb-2015 00:00,12062.0
10-Feb-2015 00:00,11-Feb-2015 00:00,10193.0
11-Feb-2015 00:00,12-Feb-2015 00:00,10091.0
12-Feb-2015 00:00,13-Feb-2015 00:00,12426.0
13-Feb-2015 00:00,14-Feb-2015 00:00,8838.0
14-Feb-2015 00:00,15-Feb-2015 00:00,19026.0
15-Feb-2015 00:00,16-Feb-2015 00:00,10002.0
16-Feb-2015 00:00,17-Feb-2015 00:00,7101.0
17-Feb-2015 00:00,18-Feb-2015 00:00,8811.0
18-Feb-2015 00:00,19-Feb-2015 00:00,10590.0
19-Feb-2015 00:00,20-Feb-2015 00:00,8080.0
20-Feb-2015 00:00,21-Feb-2015 00:00,15010.0
21-Feb-2015 00:00,22-Feb-2015 00:00,10439.0
22-Feb-2015 00:00,23-Feb-2015 00:00,8717.0
23-Feb-2015 00:00,24-Feb-2015 00:00,14694.0
24-Feb-2015 00:00,25-Feb-2015 00:00,9809.0
25-Feb-2015 00:00,26-Feb-2015 00:00,17416.0
26-Feb-2015 00:00,27-Feb-2015 00:00,9697.0
27-Feb-2015 00:00,28-Feb-2015 00:00,8143.0
28-Feb-2015 00:00,01-Mar-2015 00:00,15797.0
01-Mar-2015 00:00,02-Mar-2015 00:00,8902.0
02-Mar-2015 00:00,03-Mar-2015 00:00,12871.0
03-Mar-2015 00:00,04-Mar-2015 00:00,10867.0
04-Mar-2015 00:00,05-Mar-2015 00:00,12977.0
05-Mar-2015 00:00,06-Mar-2015 00:00,12152.0
06-Mar-2015 00:00,07-Mar-2015 00:00,9742.0
07-Mar-2015 00:00,08-Mar-2015 00:00,10679.0
08-Mar-2015 00:00,09-Mar-2015 00:00,22728.0
09-Mar-2015 00:00,10-Mar-2015 00:00,12058.0
10-Mar-2015 00:00,11-Mar-2015 00:00,9830.0
11-Mar-2015 00:00,12-Mar-2015 00:00,10646.0
12-Mar-2015 00:00,13-Mar-2015 00:00,21120.0
13-Mar-2015 00:00,14-Mar-2015 00:00,15988.0
14-Mar-2015 00:00,15-Mar-2015 00:00,9539.0
15-Mar-2015 00:00,16-Mar-2015 00:00,14402.0
16-Mar-2015 00:00,17-Mar-2015 00:00,10128.0
17-Mar-2015 00:00,18-Mar-2015 00:00,4950.0
18-Mar-2015 00:00,19-Mar-2015 00:00,9851.0
